"MonthlyMin"	"MonthlyMax"	"MonthlyRange"	"MonthlyMean"	"MonthlyDHW"	"MonthlyDHD"
"April-2006"	22.5	29.8	1.8	26.4685344827586	0	0
"April-2007"	22.6	27.1	2.9	25.1308333333333	0	0
"April-2008"	21.8	27.6	3.1	25.85	0	0
"April-2009"	24.6	29.5	2.7	26.3625	0	0
"April-2010"	23	27.1	1.8	24.9038888888889	0	0
"April-2011"	26.3	30	1.9	28.1648611111111	0	0
"April-2012"	23.9	28.7	1.5	26.0455555555556	0	0
"April-2013"	22.8	29.2	2.3	26.6913888888889	0	0
"April-2014"	23.8	29.6	2	26.6983333333333	0	0
"April-2015"	24.2	32	2.1	28.2258333333333	0	0
"April-2018"	24.448	29.252	1.784	27.1096888888889	1.45454166666667	10.1817916666667
"April-2019"	25.21	28.791	1.373	27.2404847222222	0	0
"April-2020"	26.94	31.281	1.363	28.8139666666667	0	0
"April-2021"	22.154	28.941	1.895	26.1779277777778	0	0
"August-2005"	28	33.4	2.4	31.6045698924731	0	0
"August-2006"	27.9	32	2.7	30.6591397849462	0	0
"August-2007"	29.6	32.6	1.3	31.2494623655914	3.69869047619048	25.8908333333334
"August-2008"	26.8	32.2	2.2	30.5501344086022	0	0
"August-2009"	29.5	32.8	1.8	31.1943548387097	3.71976190476191	26.0383333333334
"August-2010"	29	33.8	2	31.6299731182796	5.13880952380953	35.9716666666667
"August-2011"	30	32.9	1.2	31.5192204301075	3.77559523809524	26.4291666666667
"August-2012"	26.6	33.1	2.1	31.1682795698925	2.32476190476191	16.2733333333334
"August-2013"	28.5	32.1	1.4	30.425	0	0
"August-2014"	19.1	33.5	13.1	27.6794892473118	0.146355311355312	1.02448717948718
"August-2015"	29.7	33.1	1.3	31.6063172043011	2.21226190476191	15.4858333333334
"August-2018"	29.552	32.704	1.334	31.0221948924731	4.65836904761905	32.6085833333334
"August-2019"	30.217	32.949	1.246	31.4521801075269	3.20897619047619	22.4628333333334
"August-2020"	29.84	33.157	1.43	31.603752688172	6.026125	42.182875
"December-2005"	20.6	24.5	2.2	22.4386111111111	4.21833333333334	29.5283333333334
"December-2006"	20.7	25.6	2	23.880376344086	0	0
"December-2007"	21.6	26	1.8	24.5028151446255	0	0
"December-2008"	20.2	23.7	2.7	22.1965053763441	0	0
"December-2009"	19.7	26.8	3.4	24.1252688172043	0	0
"December-2010"	16	25.3	3.1	19.7555107526882	0	0
"December-2011"	21.5	24.9	2	23.4854838709677	0	0
"December-2012"	21.2	26	2	23.5810483870968	0	0
"December-2013"	22.7	25.9	1.2	24.7388440860215	0	0
"December-2014"	21.2	25.7	1.6	23.709811827957	0	0
"December-2015"	23.5	26.6	1.5	25.3263440860215	0.295000000000001	2.065
"December-2018"	21.032	27.112	2.061	23.808625	0	0
"December-2019"	21.987	26.28	2.101	24.5257715053763	0	0
"December-2020"	19.484	25.355	3.852	22.1389717741935	0	0
"February-2006"	17.8	26.1	2.6	21.4953703703704	0	0
"February-2007"	18.6	24.8	2.3	21.2032738095238	0	0
"February-2008"	21.8	27.5	2.8	24.5566091954023	0	0
"February-2009"	14.9	23.4	2.3	20.2787202380952	0	0
"February-2010"	17.4	23.5	2.7	20.5110119047619	0	0
"February-2011"	19.6	25.4	2.4	22.3488095238095	0	0
"February-2012"	20.4	26.6	1.6	23.9890804597701	0	0
"February-2013"	20	26.3	2.2	23.6151785714286	0	0
"February-2014"	22.9	27.2	1.9	25.1816964285714	0	0
"February-2015"	16.9	24.7	4.7	21.2400297619048	0	0
"February-2016"	20.901	32.086	9.455	30.3174301724138	0	0
"February-2019"	20.412	27.382	2.109	24.7386696428571	0	0
"February-2020"	21.509	27.235	1.889	23.873349137931	0	0
"February-2021"	17.653	27.235	2.593	23.6710178571429	0	0
"January-2006"	19.5	24.5	2.3	21.4608333333333	0.833928571428572	5.83750000000001
"January-2007"	20.5	26	2.2	23.9122311827957	0	0
"January-2008"	16.1	25.7	5.2	22.4731182795699	0	0
"January-2009"	17.1	24.2	2.8	21.225	0	0
"January-2010"	12.3	23.6	4	19.590188172043	0	0
"January-2011"	18	23.1	2.6	20.3618279569892	0	0
"January-2012"	18.6	24.2	2.5	21.648252688172	0	0
"January-2013"	21.5	24.9	1.9	23.4884408602151	0	0
"January-2014"	18.5	25.6	3.9	22.5819892473118	0	0
"January-2015"	18.7	26.3	7.6	23.0121415770609	0	0
"January-2016"	16.903	26.879	3.331	22.0703494623656	0	0
"January-2019"	19.294	25.574	1.881	22.5851209677419	0	0
"January-2020"	19.08	26.085	4.466	23.227689516129	0	0
"January-2021"	20.103	23.593	1.648	21.8620672043011	0	0
"July-2005"	27.3	33	2.2	30.8244623655914	0	0
"July-2006"	28.9	31.8	1.3	30.1822580645161	0	0
"July-2007"	30.2	33.4	1.5	31.783064516129	2.51083333333334	17.5758333333334
"July-2008"	28.5	31.7	1.4	30.0975806451613	0	0
"July-2009"	28.7	33.7	2.5	31.6623655913979	3.40214285714286	23.815
"July-2010"	29	32.5	1.3	30.5944892473118	2.87892857142857	20.1525
"July-2011"	28.4	33.3	1.2	31.1525537634409	2.06964285714286	14.4875
"July-2012"	28.8	32.2	2.8	30.6649193548387	0	0
"July-2013"	27.4	31.7	1.4	29.3065860215054	0	0
"July-2014"	18.3	33.5	13.3	27.0906586021505	0.146355311355312	1.02448717948718
"July-2015"	30.1	32.9	1.3	31.2922043010753	0.689404761904763	4.82583333333334
"July-2018"	30.356	33.953	1.66	32.1301612903226	4.49071428571429	31.4350000000001
