"dayRange"	"dayMin"	"dayMax"	"dayMean"	"date"
"4_6_2005"	0.800000000000001	28.5	29.3	29.02	2005-06-04
"5_6_2005"	1.3	28.7	30	29.2083333333333	2005-06-05
"6_6_2005"	1.1	29.3	30.4	29.6625	2005-06-06
"7_6_2005"	0.899999999999999	29.3	30.2	29.8375	2005-06-07
"8_6_2005"	0.899999999999999	29.5	30.4	29.9416666666667	2005-06-08
"9_6_2005"	1.1	28.9	30	29.5958333333333	2005-06-09
"10_6_2005"	0.5	28.4	28.9	28.6333333333333	2005-06-10
"11_6_2005"	0.900000000000002	28.2	29.1	28.5875	2005-06-11
"12_6_2005"	1	28.5	29.5	28.8666666666667	2005-06-12
"13_6_2005"	1.1	28.7	29.8	29.1125	2005-06-13
"14_6_2005"	1.3	29.1	30.4	29.5875	2005-06-14
"15_6_2005"	0.599999999999998	29.6	30.2	29.8142857142857	2005-06-15
"22_6_2005"	0.699999999999999	29.3	30	29.6363636363636	2005-06-22
"23_6_2005"	1.5	28.7	30.2	29.3958333333333	2005-06-23
"24_6_2005"	0.899999999999999	29.1	30	29.4	2005-06-24
"25_6_2005"	1.3	29.1	30.4	29.6791666666667	2005-06-25
"26_6_2005"	1.3	29.5	30.8	29.975	2005-06-26
"27_6_2005"	1.2	30	31.2	30.5583333333333	2005-06-27
"28_6_2005"	0.600000000000001	30	30.6	30.3166666666667	2005-06-28
"29_6_2005"	0.599999999999998	29.8	30.4	30.1166666666667	2005-06-29
"30_6_2005"	1.2	29.8	31	30.3583333333333	2005-06-30
"1_7_2005"	0.800000000000001	30.2	31	30.4583333333333	2005-07-01
"2_7_2005"	1.3	30.2	31.5	30.7125	2005-07-02
"3_7_2005"	1.3	30.8	32.1	31.2875	2005-07-03
"4_7_2005"	0.899999999999999	30.8	31.7	31.3041666666667	2005-07-04
"5_7_2005"	0.699999999999999	30.8	31.5	31.1291666666667	2005-07-05
"6_7_2005"	0.899999999999999	30.8	31.7	31.2958333333333	2005-07-06
"7_7_2005"	0.699999999999999	31	31.7	31.4166666666667	2005-07-07
"8_7_2005"	2.2	29.3	31.5	30.5083333333333	2005-07-08
"9_7_2005"	1.8	27.8	29.6	28.5541666666667	2005-07-09
"10_7_2005"	0.899999999999999	27.3	28.2	27.85	2005-07-10
"11_7_2005"	2.2	27.8	30	28.7791666666667	2005-07-11
"12_7_2005"	1.1	29.1	30.2	29.6	2005-07-12
"13_7_2005"	1.2	29.6	30.8	30.125	2005-07-13
"14_7_2005"	0.800000000000001	30.2	31	30.6083333333333	2005-07-14
"15_7_2005"	0.800000000000001	30.4	31.2	30.7583333333333	2005-07-15
"16_7_2005"	1	30	31	30.5583333333333	2005-07-16
"17_7_2005"	1.2	29.6	30.8	30.2333333333333	2005-07-17
"18_7_2005"	1	29.6	30.6	30.1166666666667	2005-07-18
"19_7_2005"	1.2	29.6	30.8	30.0833333333333	2005-07-19
"20_7_2005"	1	30	31	30.425	2005-07-20
"21_7_2005"	1	30.2	31.2	30.6166666666667	2005-07-21
"22_7_2005"	1.3	30.4	31.7	31.0791666666667	2005-07-22
"23_7_2005"	1.3	31.2	32.5	31.6208333333333	2005-07-23
"24_7_2005"	0.699999999999999	31.2	31.9	31.4333333333333	2005-07-24
"25_7_2005"	1.1	30.8	31.9	31.3291666666667	2005-07-25
"26_7_2005"	1.6	31.3	32.9	32.025	2005-07-26
"27_7_2005"	0.899999999999999	31.9	32.8	32.3958333333333	2005-07-27
"28_7_2005"	1.1	31.9	33	32.4041666666667	2005-07-28
"29_7_2005"	0.700000000000003	32.3	33	32.6208333333333	2005-07-29
"30_7_2005"	1.1	31.7	32.8	32.1583333333333	2005-07-30
"31_7_2005"	0.899999999999999	31.5	32.4	32.0708333333333	2005-07-31
"1_8_2005"	1.3	31.1	32.4	31.7875	2005-08-01
"2_8_2005"	0.600000000000001	31.5	32.1	31.8416666666667	2005-08-02
"3_8_2005"	0.999999999999996	31.3	32.3	31.7083333333333	2005-08-03
"4_8_2005"	0.799999999999997	31.5	32.3	31.7666666666667	2005-08-04
"5_8_2005"	0.699999999999999	31.7	32.4	31.9916666666667	2005-08-05
"6_8_2005"	0.700000000000003	31.9	32.6	32.2291666666667	2005-08-06
"7_8_2005"	0.700000000000003	32.3	33	32.6875	2005-08-07
"8_8_2005"	1.1	31.9	33	32.4458333333333	2005-08-08
"9_8_2005"	1.1	32.3	33.4	32.7375	2005-08-09
"10_8_2005"	0.799999999999997	32.6	33.4	33.0333333333333	2005-08-10
"11_8_2005"	0.600000000000001	32.8	33.4	33.0583333333333	2005-08-11
"12_8_2005"	0.399999999999999	32.6	33	32.7583333333333	2005-08-12
"13_8_2005"	0.900000000000002	31.7	32.6	32.2666666666667	2005-08-13
"14_8_2005"	1.1	31.5	32.6	32.0875	2005-08-14
"15_8_2005"	0.800000000000001	31.3	32.1	31.8583333333333	2005-08-15
"16_8_2005"	0.800000000000001	31.3	32.1	31.675	2005-08-16
"17_8_2005"	0.800000000000001	31.3	32.1	31.65	2005-08-17
"18_8_2005"	0.799999999999997	31.5	32.3	31.9333333333333	2005-08-18
"19_8_2005"	0.599999999999998	31.7	32.3	32.0583333333333	2005-08-19
"20_8_2005"	0.899999999999999	31.5	32.4	32.0291666666667	2005-08-20
"21_8_2005"	0.899999999999999	31.9	32.8	32.2416666666667	2005-08-21
"22_8_2005"	0.899999999999999	31.9	32.8	32.2916666666667	2005-08-22
"23_8_2005"	0.599999999999998	31.7	32.3	31.9916666666667	2005-08-23
"24_8_2005"	0.899999999999999	31.5	32.4	31.8958333333333	2005-08-24
"25_8_2005"	1.1	31	32.1	31.7416666666667	2005-08-25
"26_8_2005"	2.4	28.4	30.8	29.4833333333333	2005-08-26
"27_8_2005"	1.1	28	29.1	28.5666666666667	2005-08-27
"28_8_2005"	0.899999999999999	28.6	29.5	28.9666666666667	2005-08-28
"29_8_2005"	0.900000000000002	28.9	29.8	29.375	2005-08-29
"30_8_2005"	1.1	29.3	30.4	29.675	2005-08-30
"31_8_2005"	0.5	29.7	30.2	29.9083333333333	2005-08-31
"1_9_2005"	1	29.8	30.8	30.275	2005-09-01
"2_9_2005"	0.800000000000001	30.4	31.2	30.8166666666667	2005-09-02
"3_9_2005"	0.399999999999999	30.8	31.2	30.9333333333333	2005-09-03
"4_9_2005"	0.600000000000001	30.4	31	30.8166666666667	2005-09-04
"5_9_2005"	0.600000000000001	30.4	31	30.75	2005-09-05
"6_9_2005"	0.399999999999999	30.8	31.2	31.0083333333333	2005-09-06
"7_9_2005"	0.800000000000001	30.4	31.2	30.8166666666667	2005-09-07
